threads,loops
1, 144979
2, 93987
3, 86117
4, 80740
5, 79260
6, 77234
7, 76021
8, 73093
9, 71988
10, 70404
11, 68404
12, 65808
13, 65355
14, 63828
15, 62375
16, 60216
17, 59272
18, 58672
19, 57342
20, 55777
21, 55550
22, 54420
23, 53401
24, 52300
25, 51585
26, 50851
27, 49530
28, 48571
29, 47912
30, 47204
31, 46379
32, 45446
33, 45047
34, 44289
35, 43679
36, 42840
37, 42384
38, 41772
39, 41183
40, 40520
41, 40075
42, 39528
43, 38989
44, 38479
45, 37962
46, 37475
47, 36924
48, 36362
49, 36031
50, 35619
51, 35137
52, 34631
53, 34120
54, 34028
55, 33630
56, 33154
57, 32946
58, 32647
59, 32124
60, 31605
61, 31369
62, 31087
63, 30580
64, 30132
