threads,loops
1, 149011
2, 92441
3, 83292
4, 78043
5, 76835
6, 75478
7, 73145
8, 70636
9, 69502
10, 68358
11, 66724
12, 64459
13, 63455
14, 62193
15, 60688
16, 58855
17, 58107
18, 57384
19, 56015
20, 54641
21, 54092
22, 53195
23, 52123
24, 51056
25, 50440
26, 49590
27, 48641
28, 47531
29, 46926
30, 46071
31, 45390
32, 44397
33, 43831
34, 43704
35, 42922
36, 42213
37, 41920
38, 41291
39, 40465
40, 39872
41, 39603
42, 39023
43, 38358
44, 37752
45, 37532
46, 36961
47, 36445
48, 35732
49, 35548
50, 35149
51, 34609
52, 34100
53, 33906
54, 33478
55, 33011
56, 32536
57, 32372
58, 32022
59, 31539
60, 31020
61, 30804
62, 30490
63, 29986
64, 29562
