threads,loops
1, 144507
2, 90864
3, 83419
4, 79384
5, 77741
6, 76506
7, 73522
8, 70634
9, 70076
10, 68512
11, 66791
12, 64260
13, 63703
14, 62183
15, 60775
16, 58998
17, 58277
18, 57484
19, 56240
20, 54894
21, 53728
22, 53775
23, 52851
24, 51575
25, 50961
26, 50297
27, 49201
28, 47959
29, 47554
30, 46679
31, 45629
32, 44863
33, 44470
34, 43936
35, 43064
36, 42244
37, 42017
38, 41419
39, 40677
40, 39950
41, 39706
42, 39081
43, 38431
44, 37728
45, 37554
46, 37011
47, 36321
48, 35711
49, 35531
50, 35234
51, 34669
52, 34064
53, 33845
54, 33568
55, 33119
56, 32622
57, 32407
58, 32014
59, 31566
60, 30980
61, 30777
62, 30430
63, 29925
64, 29554
