threads,loops
1, 57415
2, 98219
3, 74482
4, 73421
5, 72186
6, 72190
7, 72660
8, 73067
9, 72675
10, 72420
11, 72263
12, 72145
13, 72125
14, 72018
15, 71759
16, 71987
17, 71848
18, 71058
19, 70936
20, 70776
21, 69427
22, 68697
23, 66687
24, 67328
25, 67691
26, 66903
27, 67090
28, 67475
29, 66049
30, 65655
31, 62766
32, 65647
33, 67899
34, 67567
35, 66267
36, 66477
37, 65672
38, 65858
39, 65714
40, 66280
41, 65989
42, 66617
43, 65770
44, 66251
45, 66061
46, 66465
47, 65499
48, 65999
49, 66096
50, 65671
51, 63636
52, 59522
53, 65189
54, 65114
55, 65435
56, 65466
57, 65478
58, 65796
59, 65368
60, 63587
61, 62096
62, 65082
63, 65580
64, 64466
