threads,loops
1, 58807
2, 96547
3, 74205
4, 73046
5, 72183
6, 72077
7, 72373
8, 72810
9, 72474
10, 72440
11, 72089
12, 72241
13, 70718
14, 71814
15, 71461
16, 71531
17, 70476
18, 70446
19, 69029
20, 68185
21, 68199
22, 67841
23, 67966
24, 67820
25, 67187
26, 67088
27, 66847
28, 67653
29, 67376
30, 67268
31, 64630
32, 63914
33, 66265
34, 65714
35, 67342
36, 65368
37, 65916
38, 66160
39, 65992
40, 67525
41, 67702
42, 67774
43, 65986
44, 66088
45, 66231
46, 66233
47, 65948
48, 65291
49, 65383
50, 65558
51, 64333
52, 59902
53, 61342
54, 65400
55, 65221
56, 64959
57, 65368
58, 65522
59, 65024
60, 65437
61, 60140
62, 63719
63, 64417
64, 64230
