threads,loops
1, 149309
2, 90952
3, 90410
4, 89989
5, 79273
6, 78753
7, 75662
8, 73478
9, 71237
10, 70121
11, 67948
12, 65599
13, 64486
14, 62846
15, 61499
16, 59745
17, 59121
18, 58004
19, 56781
20, 55340
21, 54779
22, 53982
23, 52642
24, 51376
25, 51030
26, 50384
27, 49059
28, 47873
29, 47574
30, 46609
31, 45756
32, 44785
33, 44524
34, 43834
35, 43099
36, 42230
37, 42001
38, 41471
39, 40721
40, 39879
41, 39731
42, 39109
43, 38439
44, 37768
45, 37545
46, 37023
47, 36442
48, 35814
49, 35633
50, 35230
51, 34681
52, 34120
53, 33903
54, 33543
55, 33105
56, 32611
57, 32355
58, 31997
59, 31543
60, 31057
61, 30811
62, 30497
63, 30011
64, 29586
