threads,loops
1, 134160
2, 85327
3, 80080
4, 75598
5, 75593
6, 73835
7, 71675
8, 69520
9, 68959
10, 67206
11, 65738
12, 63635
13, 62745
14, 61466
15, 59794
16, 58199
17, 57613
18, 56730
19, 55355
20, 54086
21, 53596
22, 52735
23, 51601
24, 50492
25, 49955
26, 49211
27, 48201
28, 47199
29, 46551
30, 45791
31, 45065
32, 44191
33, 43741
34, 43044
35, 42506
36, 41771
37, 41326
38, 40851
39, 40240
40, 39574
41, 39119
42, 38661
43, 38108
44, 37573
45, 37065
46, 36752
47, 36235
48, 35722
49, 35188
50, 34649
51, 34053
52, 34008
53, 33911
54, 33503
55, 33029
56, 32495
57, 32214
58, 31867
59, 31179
60, 30860
61, 30709
62, 30404
63, 29893
64, 29413
