threads,loops
1, 149434
2, 91016
3, 82350
4, 76667
5, 76571
6, 75076
7, 72823
8, 70115
9, 70854
10, 69524
11, 67548
12, 65340
13, 64346
14, 62850
15, 61376
16, 59507
17, 58911
18, 57915
19, 56653
20, 54891
21, 54752
22, 53857
23, 52654
24, 51391
25, 50976
26, 50083
27, 48968
28, 47686
29, 47363
30, 46621
31, 45650
32, 44511
33, 44340
34, 43821
35, 42861
36, 42068
37, 41830
38, 41297
39, 40482
40, 39800
41, 39592
42, 39054
43, 38293
44, 37588
45, 37386
46, 36897
47, 36295
48, 35673
49, 35469
50, 35078
51, 34558
52, 34029
53, 33773
54, 33482
55, 32954
56, 32510
57, 32261
58, 31903
59, 31446
60, 31060
61, 30769
62, 30432
63, 29909
64, 29489
