threads,loops
1, 158711
2, 96751
3, 88716
4, 82140
5, 83135
6, 80721
7, 77390
8, 74121
9, 73762
10, 71715
11, 69483
12, 67108
13, 66718
14, 64887
15, 63056
16, 61071
17, 60227
18, 60405
19, 59106
20, 57339
21, 56963
22, 55726
23, 54312
24, 53282
25, 52761
26, 51835
27, 50423
28, 49363
29, 49038
30, 48230
31, 47318
32, 46178
33, 45745
34, 45129
35, 44405
36, 43324
37, 43071
38, 42394
39, 41791
40, 40920
41, 40657
42, 40076
43, 39444
44, 38568
45, 38239
46, 37957
47, 37302
48, 36650
49, 36351
50, 36008
51, 35413
52, 34891
53, 34657
54, 34253
55, 33789
56, 33251
57, 33065
58, 32659
59, 32192
60, 31588
61, 31431
62, 31113
63, 30656
64, 30158
