threads,loops
1, 881991
2, 534142
3, 500018
4, 458791
5, 459869
6, 451449
7, 438916
8, 423700
9, 417773
10, 407500
11, 395724
12, 383269
13, 377651
14, 370791
15, 361978
16, 351085
17, 347512
18, 342659
19, 336423
20, 328444
21, 321420
22, 315227
23, 309106
24, 308344
25, 305692
26, 300932
27, 294144
28, 286982
29, 284888
30, 279139
31, 273905
32, 268282
33, 266285
34, 262434
35, 256999
36, 252856
37, 251140
38, 247610
39, 243415
40, 239310
41, 237367
42, 233952
43, 229883
44, 225367
45, 223997
46, 220681
47, 217283
48, 213344
49, 212651
50, 209836
51, 206614
52, 203068
53, 202309
54, 199640
55, 195825
56, 193929
57, 193038
58, 190597
59, 187589
60, 184908
61, 183694
62, 181415
63, 178510
64, 175781
