threads,loops
1, 1855671
2, 558549
3, 555338
4, 493411
5, 461355
6, 455822
7, 443449
8, 430084
9, 419741
10, 413095
11, 401072
12, 388990
13, 382520
14, 374888
15, 364716
16, 353813
17, 350037
18, 346325
19, 337236
20, 328861
21, 327257
22, 321863
23, 314852
24, 307417
25, 305932
26, 299988
27, 293113
28, 286526
29, 283412
30, 278808
31, 273464
32, 267541
33, 265989
34, 262810
35, 257630
36, 252844
37, 251575
38, 248226
39, 243644
40, 239104
41, 237523
42, 234563
43, 230537
44, 225789
45, 224903
46, 221836
47, 217868
48, 214303
49, 213211
50, 210569
51, 206891
52, 202677
53, 202325
54, 199624
55, 196346
56, 193748
57, 192371
58, 189931
59, 186906
60, 183893
61, 183174
62, 180095
63, 177791
64, 174912
