threads,loops
1, 839922
2, 528039
3, 489717
4, 452785
5, 454387
6, 445527
7, 432000
8, 417894
9, 414090
10, 404348
11, 392478
12, 380562
13, 375321
14, 367200
15, 358375
16, 348577
17, 345250
18, 340786
19, 333537
20, 325836
21, 321773
22, 315630
23, 310736
24, 303468
25, 299996
26, 295557
27, 290011
28, 284212
29, 280076
30, 276386
31, 271519
32, 266005
33, 263176
34, 259470
35, 255216
36, 251097
37, 251409
38, 247994
39, 243734
40, 239080
41, 237659
42, 234126
43, 230220
44, 225856
45, 224497
46, 221339
47, 217317
48, 213960
49, 212746
50, 210291
51, 206843
52, 203549
53, 202528
54, 200288
55, 197030
56, 193994
57, 193103
58, 190385
59, 187651
60, 184720
61, 183367
62, 181012
63, 178273
64, 175684
