threads,loops
1, 1912638
2, 579709
3, 567699
4, 517875
5, 468952
6, 465105
7, 453559
8, 437593
9, 427215
10, 418578
11, 404378
12, 391840
13, 385875
14, 377751
15, 368087
16, 358008
17, 354784
18, 349136
19, 340972
20, 332455
21, 330309
22, 323772
23, 316918
24, 309173
25, 306878
26, 302036
27, 295007
28, 288170
29, 285649
30, 280552
31, 274931
32, 264945
33, 265294
34, 264120
35, 259517
36, 253902
37, 252910
38, 249884
39, 245426
40, 240913
41, 239790
42, 235785
43, 231466
44, 226919
45, 226377
46, 222960
47, 219062
48, 215468
49, 214780
50, 211877
51, 208541
52, 205100
53, 203974
54, 201158
55, 197870
56, 194960
57, 193756
58, 191394
59, 188393
60, 185593
61, 184340
62, 181967
63, 178999
64, 176532
