threads,loops
1, 896803
2, 561447
3, 521965
4, 483732
5, 484254
6, 470493
7, 456622
8, 437666
9, 433940
10, 423887
11, 410810
12, 396747
13, 392762
14, 381481
15, 372998
16, 363792
17, 360364
18, 352080
19, 345442
20, 335597
21, 332423
22, 326735
23, 320398
24, 311969
25, 309379
26, 303118
27, 297644
28, 290892
29, 288102
30, 283708
31, 279051
32, 273264
33, 270228
34, 266452
35, 262123
36, 257609
37, 254717
38, 251509
39, 247266
40, 243201
41, 240481
42, 236812
43, 233782
44, 230008
45, 226245
46, 222442
47, 222481
48, 218384
49, 217633
50, 214875
51, 211522
52, 207747
53, 206545
54, 203608
55, 201474
56, 198379
57, 197294
58, 194942
59, 191635
60, 188771
61, 187662
62, 185441
63, 182282
64, 179660
