threads,loops
1, 888629
2, 545565
3, 499005
4, 463804
5, 464149
6, 453977
7, 439310
8, 421435
9, 424208
10, 416723
11, 403712
12, 391593
13, 386927
14, 378270
15, 367482
16, 356671
17, 353733
18, 348556
19, 340372
20, 330224
21, 326798
22, 322164
23, 315426
24, 309016
25, 306081
26, 301217
27, 294213
28, 287972
29, 285729
30, 279982
31, 274425
32, 268801
33, 266912
34, 262875
35, 257544
36, 252990
37, 251450
38, 247812
39, 243567
40, 239269
41, 237625
42, 234104
43, 229855
44, 226172
45, 224707
46, 221072
47, 217366
48, 213479
49, 212855
50, 210404
51, 206389
52, 203633
53, 202921
54, 200358
55, 197210
56, 194190
57, 193111
58, 190810
59, 187675
60, 184905
61, 183851
62, 181532
63, 178835
64, 176231
