threads,loops
1, 784406
2, 479061
3, 381661
4, 432090
5, 380700
6, 444181
7, 432667
8, 418293
9, 413949
10, 406497
11, 395723
12, 383230
13, 377585
14, 370561
15, 361076
16, 350656
17, 346774
18, 338917
19, 333868
20, 327425
21, 324085
22, 318161
23, 312831
24, 306285
25, 302216
26, 297391
27, 290502
28, 285451
29, 282232
30, 277094
31, 272231
32, 267937
33, 264469
34, 261428
35, 257327
36, 252946
37, 250389
38, 247510
39, 242929
40, 239515
41, 235335
42, 235461
43, 231402
44, 227555
45, 226545
46, 223432
47, 219559
48, 215738
49, 214617
50, 211875
51, 208384
52, 204436
53, 203751
54, 200995
55, 198181
56, 194811
57, 193216
58, 190788
59, 188029
60, 185161
61, 183871
62, 181428
63, 178489
64, 175878
