threads,loops
1, 797724
2, 515718
3, 483216
4, 447534
5, 449634
6, 433401
7, 424298
8, 405995
9, 405800
10, 397522
11, 386937
12, 374252
13, 369863
14, 367452
15, 358544
16, 349265
17, 343606
18, 336283
19, 330155
20, 324948
21, 320227
22, 314436
23, 308801
24, 305730
25, 299517
26, 294890
27, 282155
28, 280791
29, 277689
30, 274466
31, 270788
32, 263297
33, 263105
34, 259245
35, 255159
36, 249730
37, 247321
38, 241256
39, 240734
40, 236162
41, 234822
42, 230753
43, 226443
44, 221162
45, 222410
46, 215799
47, 215027
48, 209837
49, 211134
50, 208165
51, 205023
52, 201478
53, 198568
54, 198361
55, 194321
56, 192658
57, 190578
58, 186903
59, 187718
60, 184780
61, 183250
62, 180988
63, 178365
64, 175361
