threads,loops
1, 855905
2, 534344
3, 496616
4, 465468
5, 462305
6, 452321
7, 434763
8, 422999
9, 417714
10, 408893
11, 396193
12, 385508
13, 379649
14, 371928
15, 362538
16, 354198
17, 349605
18, 343541
19, 336587
20, 328508
21, 323436
22, 319063
23, 312536
24, 306722
25, 303077
26, 298083
27, 291534
28, 286085
29, 280542
30, 281155
31, 275306
32, 268337
33, 267465
34, 263341
35, 257263
36, 253999
37, 252787
38, 249162
39, 244745
40, 240407
41, 239229
42, 235694
43, 231486
44, 227124
45, 226464
46, 222878
47, 218660
48, 215325
49, 214507
50, 212115
51, 208678
52, 205250
53, 204132
54, 201187
55, 198108
56, 195072
57, 193656
58, 191423
59, 188361
60, 185632
61, 184405
62, 181974
63, 179257
64, 176663
