threads,loops
1, 919831
2, 568615
3, 515384
4, 485372
5, 483957
6, 471696
7, 455217
8, 439006
9, 434247
10, 422959
11, 413150
12, 398847
13, 396653
14, 386556
15, 375599
16, 366009
17, 361581
18, 355252
19, 347286
20, 340160
21, 334711
22, 329261
23, 321901
24, 314809
25, 310863
26, 305913
27, 299417
28, 292215
29, 288272
30, 283444
31, 279391
32, 272647
33, 271714
34, 269673
35, 265034
36, 259418
37, 257783
38, 254624
39, 250115
40, 245088
41, 243690
42, 240070
43, 235200
44, 228677
45, 227699
46, 227237
47, 222638
48, 218934
49, 218272
50, 215491
51, 211970
52, 208326
53, 207691
54, 204830
55, 201773
56, 198871
57, 197800
58, 195322
59, 192412
60, 189210
61, 188312
62, 185611
63, 183057
64, 180043
