threads,loops
1, 73050
2, 65956
3, 58042
4, 57823
5, 54417
6, 52959
7, 51428
8, 49868
9, 48329
10, 47599
11, 46251
12, 45137
13, 44737
14, 44103
15, 42999
16, 41996
17, 41919
18, 41450
19, 40690
20, 39937
21, 39513
22, 39327
23, 38673
24, 37988
25, 37732
26, 37289
27, 36695
28, 35998
29, 35748
30, 35222
31, 34659
32, 33998
33, 34010
34, 33572
35, 33098
36, 32571
37, 32406
38, 32057
39, 31584
40, 31112
41, 30954
42, 30643
43, 30160
44, 29804
45, 29609
46, 29227
47, 28856
48, 28424
49, 28346
50, 28062
51, 27747
52, 27379
53, 27303
54, 27017
55, 26717
56, 26356
57, 26256
58, 25990
59, 25668
60, 25360
61, 25193
62, 24956
63, 24660
64, 24377
