threads,loops
1, 71988
2, 64447
3, 56661
4, 58371
5, 53521
6, 52434
7, 50849
8, 49181
9, 48377
10, 47325
11, 46265
12, 45052
13, 44749
14, 43988
15, 42900
16, 42042
17, 41915
18, 41553
19, 40885
20, 39990
21, 39826
22, 39394
23, 38731
24, 37982
25, 37822
26, 37223
27, 36644
28, 35956
29, 35747
30, 35275
31, 34681
32, 34053
33, 34057
34, 33604
35, 33088
36, 32587
37, 32474
38, 32103
39, 31665
40, 31197
41, 31060
42, 30638
43, 30279
44, 29908
45, 29670
46, 29370
47, 28959
48, 28507
49, 28432
50, 28180
51, 27788
52, 27456
53, 27291
54, 27061
55, 26760
56, 26398
57, 26265
58, 26010
59, 25715
60, 25385
61, 25253
62, 24990
63, 24677
64, 24402
