threads,loops
1, 72613
2, 62262
3, 55177
4, 52287
5, 53163
6, 51546
7, 49870
8, 48334
9, 47705
10, 46912
11, 45651
12, 44804
13, 43992
14, 43255
15, 42174
16, 42083
17, 41969
18, 41638
19, 40852
20, 40038
21, 39797
22, 39311
23, 38793
24, 38050
25, 37794
26, 37262
27, 36659
28, 36081
29, 35767
30, 35283
31, 34788
32, 34086
33, 33949
34, 33584
35, 33035
36, 32559
37, 32456
38, 32113
39, 31548
40, 31151
41, 31032
42, 30659
43, 30233
44, 29772
45, 29744
46, 29276
47, 28909
48, 28496
49, 28404
50, 28134
51, 27797
52, 27471
53, 27347
54, 27089
55, 26774
56, 26447
57, 26326
58, 26056
59, 25739
60, 25377
61, 25276
62, 25007
63, 24722
64, 24390
