threads,loops
1, 106592
2, 68593
3, 60391
4, 60595
5, 56005
6, 54742
7, 53066
8, 51255
9, 50013
10, 49207
11, 47948
12, 46361
13, 45696
14, 44593
15, 43158
16, 42602
17, 43112
18, 42756
19, 41891
20, 41089
21, 40880
22, 40210
23, 39540
24, 38668
25, 38562
26, 37992
27, 37433
28, 36757
29, 36454
30, 35844
31, 35276
32, 34669
33, 34585
34, 34147
35, 33671
36, 33135
37, 32943
38, 32624
39, 32201
40, 31647
41, 31546
42, 31034
43, 30662
44, 30207
45, 30076
46, 29748
47, 29220
48, 28898
49, 28855
50, 28641
51, 28227
52, 27843
53, 27678
54, 27443
55, 27109
56, 26739
57, 26640
58, 26362
59, 26050
60, 25707
61, 25622
62, 25351
63, 25070
64, 24750
