threads,loops
1, 432743
2, 382298
3, 333879
4, 314534
5, 321074
6, 310684
7, 300893
8, 291967
9, 286405
10, 280737
11, 273394
12, 266983
13, 264176
14, 260245
15, 254881
16, 249266
17, 248481
18, 246321
19, 242147
20, 238028
21, 235864
22, 233467
23, 230030
24, 225923
25, 221862
26, 221560
27, 218080
28, 214370
29, 211453
30, 211485
31, 207402
32, 203248
33, 202793
34, 200934
35, 197770
36, 194695
37, 194208
38, 192058
39, 189308
40, 186964
41, 185752
42, 183502
43, 180991
44, 178391
45, 177379
46, 175102
47, 172994
48, 170619
49, 170212
50, 168555
51, 166342
52, 164005
53, 163629
54, 162128
55, 160322
56, 158086
57, 157354
58, 155915
59, 153892
60, 151856
61, 151244
62, 149651
63, 147786
64, 145935
