threads,loops
1, 631895
2, 399662
3, 353215
4, 348850
5, 325674
6, 319453
7, 309347
8, 299660
9, 292880
10, 286869
11, 279586
12, 272554
13, 270082
14, 266066
15, 260274
16, 254895
17, 253771
18, 250693
19, 246667
20, 240971
21, 240376
22, 237973
23, 233781
24, 229732
25, 228274
26, 224909
27, 220946
28, 216830
29, 215878
30, 213203
31, 208954
32, 205638
33, 205137
34, 202817
35, 199859
36, 196734
37, 195848
38, 193690
39, 190779
40, 187271
41, 186827
42, 184503
43, 182186
44, 179603
45, 178654
46, 176402
47, 173968
48, 171584
49, 171043
50, 169311
51, 166910
52, 164356
53, 163694
54, 162426
55, 160733
56, 158773
57, 158024
58, 156090
59, 154135
60, 152383
61, 151600
62, 149977
63, 148239
64, 146376
