threads,loops
1, 622261
2, 392104
3, 349291
4, 344034
5, 322824
6, 315873
7, 306900
8, 297650
9, 291582
10, 286815
11, 279213
12, 271461
13, 268267
14, 264137
15, 257983
16, 252410
17, 251494
18, 248720
19, 244847
20, 239520
21, 238212
22, 235810
23, 232303
24, 227677
25, 226634
26, 223236
27, 219857
28, 215932
29, 214400
30, 211518
31, 207722
32, 204163
33, 203324
34, 201081
35, 197843
36, 194773
37, 193761
38, 192113
39, 189338
40, 186708
41, 185769
42, 183599
43, 180957
44, 178460
45, 177468
46, 175298
47, 172533
48, 170199
49, 169895
50, 168489
51, 166147
52, 164026
53, 163620
54, 161968
55, 159810
56, 157886
57, 157381
58, 155700
59, 153577
60, 152105
61, 151104
62, 149453
63, 147437
64, 145860
