threads,loops
1, 433500
2, 379333
3, 338311
4, 314745
5, 321288
6, 311361
7, 301226
8, 291270
9, 289031
10, 282723
11, 276000
12, 268998
13, 264807
14, 259821
15, 260009
16, 253747
17, 253600
18, 250378
19, 246140
20, 240675
21, 239419
22, 237587
23, 232478
24, 228780
25, 227352
26, 224683
27, 220375
28, 216531
29, 215154
30, 212668
31, 208783
32, 204699
33, 204497
34, 201905
35, 198806
36, 195775
37, 195321
38, 186664
39, 190126
40, 187301
41, 185209
42, 184078
43, 181705
44, 178986
45, 178265
46, 176105
47, 173574
48, 171020
49, 170796
50, 169147
51, 166875
52, 164230
53, 163353
54, 162158
55, 159953
56, 158066
57, 157294
58, 155895
59, 153822
60, 151689
61, 151030
62, 149861
63, 147617
64, 146206
