threads,loops
1, 454617
2, 397167
3, 347003
4, 328142
5, 331510
6, 322099
7, 310947
8, 301188
9, 297746
10, 292469
11, 284485
12, 275823
13, 274056
14, 269617
15, 263604
16, 257688
17, 255751
18, 253518
19, 249181
20, 244290
21, 242473
22, 239801
23, 235932
24, 232366
25, 229821
26, 227261
27, 223625
28, 219338
29, 217737
30, 214899
31, 211877
32, 208482
33, 206739
34, 204283
35, 201808
36, 198778
37, 197254
38, 195279
39, 192986
40, 190163
41, 190229
42, 188002
43, 184950
44, 182458
45, 179299
46, 179359
47, 176690
48, 174282
49, 173794
50, 172346
51, 169792
52, 167610
53, 167102
54, 165453
55, 163366
56, 161340
57, 160624
58, 159047
59, 156787
60, 154995
61, 154329
62, 152766
63, 150760
64, 148775
