threads,loops
1, 434903
2, 386376
3, 334852
4, 319310
5, 322249
6, 310301
7, 300477
8, 291546
9, 291757
10, 286438
11, 278977
12, 271379
13, 269224
14, 264363
15, 259150
16, 252934
17, 251735
18, 249820
19, 245442
20, 240542
21, 239712
22, 236772
23, 232766
24, 228738
25, 226903
26, 223895
27, 220076
28, 215784
29, 214914
30, 211678
31, 208179
32, 204522
33, 203946
34, 201255
35, 198379
36, 194854
37, 194491
38, 191795
39, 189381
40, 186504
41, 184992
42, 183989
43, 181317
44, 178413
45, 177944
46, 175474
47, 173130
48, 170592
49, 170233
50, 168653
51, 166497
52, 164346
53, 163887
54, 162120
55, 160321
56, 158413
57, 157761
58, 156101
59, 154130
60, 152024
61, 151309
62, 149988
63, 148031
64, 146113
