threads,loops
1, 439909
2, 383029
3, 348771
4, 355979
5, 326403
6, 314355
7, 307682
8, 298827
9, 292692
10, 285529
11, 279925
12, 272616
13, 269410
14, 265960
15, 259474
16, 253978
17, 253567
18, 251048
19, 246603
20, 241529
21, 240415
22, 238153
23, 233643
24, 229544
25, 228073
26, 224711
27, 220968
28, 216842
29, 216257
30, 213239
31, 209368
32, 205530
33, 205024
34, 203130
35, 199885
36, 196955
37, 196003
38, 193743
39, 191204
40, 188124
41, 187107
42, 184614
43, 182250
44, 179634
45, 179131
46, 176864
47, 171983
48, 171935
49, 170010
50, 168789
51, 167261
52, 164493
53, 164423
54, 162829
55, 160999
56, 158886
57, 158203
58, 156196
59, 154445
60, 152438
61, 151900
62, 150141
63, 148473
64, 146638
