threads,loops
1, 424211
2, 374859
3, 329536
4, 312450
5, 318048
6, 308511
7, 298273
8, 288634
9, 291478
10, 285472
11, 278966
12, 271687
13, 268458
14, 264075
15, 258585
16, 252146
17, 251436
18, 248409
19, 243294
20, 239546
21, 237972
22, 235435
23, 230392
24, 227865
25, 225951
26, 223646
27, 219079
28, 215379
29, 213903
30, 211419
31, 207750
32, 204081
33, 203176
34, 200844
35, 197937
36, 194739
37, 194126
38, 192137
39, 188626
40, 186424
41, 185779
42, 183798
43, 181174
44, 178270
45, 177412
46, 175426
47, 173097
48, 170855
49, 170225
50, 168465
51, 166368
52, 164289
53, 163886
54, 161925
55, 160062
56, 157913
57, 157604
58, 155957
59, 153971
60, 152121
61, 151284
62, 149676
63, 147800
64, 146047
