threads,loops
1, 633140
2, 402212
3, 349765
4, 356689
5, 326181
6, 318688
7, 307640
8, 298050
9, 292576
10, 287235
11, 279921
12, 272931
13, 270108
14, 265612
15, 258520
16, 253968
17, 253031
18, 250068
19, 245797
20, 241114
21, 239584
22, 237106
23, 232939
24, 229227
25, 227093
26, 224176
27, 220497
28, 216629
29, 215462
30, 212718
31, 209180
32, 205433
33, 204634
34, 202212
35, 199359
36, 195878
37, 195003
38, 193205
39, 186739
40, 187309
41, 185965
42, 182838
43, 181897
44, 179182
45, 178377
46, 176205
47, 173612
48, 171219
49, 170699
50, 168944
51, 166684
52, 164811
53, 163959
54, 161924
55, 160170
56, 157973
57, 157360
58, 155806
59, 153627
60, 151933
61, 151143
62, 149615
63, 147806
64, 145908
