threads,loops
1, 452476
2, 395442
3, 348383
4, 329217
5, 332947
6, 322872
7, 310546
8, 300471
9, 297102
10, 291843
11, 284466
12, 276772
13, 273847
14, 269225
15, 263901
16, 257711
17, 256284
18, 252994
19, 248881
20, 244863
21, 242531
22, 239743
23, 236372
24, 232516
25, 229947
26, 226911
27, 223607
28, 220050
29, 217603
30, 215272
31, 211934
32, 208321
33, 206713
34, 204360
35, 201785
36, 198871
37, 196931
38, 195008
39, 192683
40, 190049
41, 188417
42, 186434
43, 184237
44, 181591
45, 179990
46, 178313
47, 176060
48, 173810
49, 172496
50, 171051
51, 169235
52, 167029
53, 165862
54, 164489
55, 162743
56, 161100
57, 159412
58, 158335
59, 156520
60, 154865
61, 153032
62, 153024
63, 151033
64, 149240
