threads,loops
1, 54959
2, 94813
3, 68656
4, 64402
5, 64167
6, 66896
7, 70537
8, 70159
9, 72686
10, 72450
11, 72216
12, 71797
13, 72016
14, 72061
15, 72066
16, 71821
17, 71024
18, 71274
19, 71453
20, 70597
21, 69068
22, 68566
23, 66268
24, 66436
25, 67543
26, 68097
27, 67691
28, 68096
29, 68192
30, 67777
31, 67393
32, 67820
33, 66161
34, 65897
35, 65582
36, 66236
37, 65836
38, 66670
39, 66161
40, 65863
41, 66641
42, 66374
43, 66375
44, 66279
45, 65259
46, 66399
47, 67834
48, 67867
49, 66230
50, 65837
51, 66285
52, 65605
53, 65866
54, 66061
55, 66429
56, 66127
57, 65664
58, 65902
59, 65310
60, 65287
61, 65009
62, 65699
63, 62382
64, 64848
