threads,loops
1, 158312
2, 188574
3, 144843
4, 155730
5, 161902
6, 163689
7, 165986
8, 165187
9, 167097
10, 167093
11, 165820
12, 168435
13, 169961
14, 169402
15, 170683
16, 170279
17, 170340
18, 171051
19, 170685
20, 172322
21, 168380
22, 171671
23, 174143
24, 173077
25, 175825
26, 175518
27, 174623
28, 177487
29, 177119
30, 177969
31, 178295
32, 176736
33, 177696
34, 177750
35, 177417
36, 178145
37, 179067
38, 178342
39, 180084
40, 181492
41, 175685
42, 178334
43, 179941
44, 178241
45, 179943
46, 179810
47, 178346
48, 178077
49, 178505
50, 181949
51, 180201
52, 178379
53, 176359
54, 177377
55, 176472
56, 177796
57, 178961
58, 179412
59, 175300
60, 176700
61, 175872
62, 175997
63, 176179
64, 178214
