threads,loops
1, 57582
2, 96206
3, 73066
4, 72717
5, 71843
6, 72222
7, 72221
8, 72962
9, 72438
10, 72171
11, 72223
12, 70089
13, 71706
14, 71852
15, 71104
16, 71927
17, 71210
18, 70795
19, 71445
20, 70995
21, 68785
22, 66378
23, 67571
24, 67460
25, 67381
26, 67912
27, 68158
28, 67449
29, 67561
30, 67903
31, 67681
32, 67749
33, 68179
34, 68014
35, 67270
36, 66707
37, 66352
38, 66297
39, 66414
40, 65682
41, 65986
42, 66099
43, 66230
44, 65498
45, 65902
46, 65917
47, 65546
48, 65717
49, 65794
50, 64524
51, 63774
52, 65894
53, 65937
54, 65766
55, 65729
56, 65152
57, 65260
58, 65160
59, 65549
60, 65344
61, 65485
62, 64774
63, 65071
64, 64931
