threads,loops
1, 352867
2, 585080
3, 441736
4, 400367
5, 390494
6, 393046
7, 397231
8, 426863
9, 429074
10, 428984
11, 403205
12, 401921
13, 404107
14, 419197
15, 417078
16, 418080
17, 423562
18, 422658
19, 415453
20, 423022
21, 405197
22, 401266
23, 399386
24, 401286
25, 390086
26, 394954
27, 398846
28, 395524
29, 403640
30, 401804
31, 391151
32, 400615
33, 392605
34, 391303
35, 401165
36, 407647
37, 400530
38, 399728
39, 400094
40, 402590
41, 398687
42, 397685
43, 396948
44, 400664
45, 397435
46, 400546
47, 398437
48, 394965
49, 397241
50, 395485
51, 392057
52, 398573
53, 395473
54, 389855
55, 394524
56, 391497
57, 390826
58, 395368
59, 394526
60, 392866
61, 384361
62, 391709
63, 388249
64, 392811
