threads,loops
1, 604363
2, 396387
3, 405625
4, 392215
5, 403596
6, 407550
7, 418511
8, 423125
9, 425108
10, 405523
11, 401992
12, 406958
13, 402306
14, 401430
15, 402266
16, 401480
17, 399835
18, 403290
19, 406336
20, 413418
21, 415212
22, 426155
23, 435825
24, 432776
25, 432937
26, 427096
27, 425568
28, 429518
29, 430945
30, 432946
31, 431658
32, 433517
33, 432888
34, 429968
35, 431083
36, 431013
37, 433508
38, 433254
39, 433175
40, 433856
41, 433932
42, 434800
43, 435718
44, 434994
45, 434014
46, 430892
47, 433598
48, 432088
49, 432940
50, 432394
51, 431491
52, 430681
53, 430937
54, 432324
55, 428868
56, 429992
57, 429137
58, 428843
59, 429263
60, 429475
61, 430476
62, 427006
63, 429148
64, 426466
