threads,loops
1, 1760598
2, 2687782
3, 1770332
4, 1829658
5, 1775999
6, 1762651
7, 1766817
8, 1771275
9, 1746728
10, 1751700
11, 1740941
12, 1733702
13, 1729886
14, 1737628
15, 1747606
16, 1742157
17, 1746642
18, 1750122
19, 1748568
20, 1746934
21, 1749061
22, 1748045
23, 1751808
24, 1751827
25, 1749343
26, 1748110
27, 1751769
28, 1742814
29, 1742542
30, 1741366
31, 1744733
32, 1742306
33, 1738981
34, 1742832
35, 1737193
36, 1729945
37, 1736599
38, 1735677
39, 1736126
40, 1733925
41, 1736212
42, 1732290
43, 1735626
44, 1722249
45, 1725283
46, 1719247
47, 1723861
48, 1721177
49, 1719289
50, 1718396
51, 1719975
52, 1711127
53, 1709065
54, 1712678
55, 1708760
56, 1707918
57, 1704488
58, 1708880
59, 1697910
60, 1696855
61, 1695954
62, 1694882
63, 1688220
64, 1691135
