threads,loops
1, 359925
2, 630042
3, 434843
4, 420562
5, 417451
6, 417621
7, 436029
8, 441356
9, 423011
10, 435536
11, 434515
12, 430142
13, 426674
14, 427876
15, 426771
16, 423899
17, 423298
18, 419835
19, 415767
20, 415071
21, 404863
22, 403760
23, 401485
24, 400000
25, 388230
26, 397292
27, 402221
28, 400347
29, 400814
30, 403677
31, 387476
32, 404164
33, 398987
34, 397135
35, 407068
36, 403774
37, 402349
38, 406453
39, 404803
40, 404043
41, 401613
42, 401766
43, 401565
44, 403783
45, 400661
46, 398566
47, 399285
48, 399169
49, 399100
50, 395638
51, 400262
52, 400344
53, 398454
54, 394518
55, 394359
56, 397030
57, 392063
58, 394965
59, 393267
60, 388776
61, 394351
62, 393109
63, 390662
64, 393566
