threads,loops
1, 950264
2, 570161
3, 527090
4, 486157
5, 493848
6, 479432
7, 462208
8, 445391
9, 441399
10, 432726
11, 421675
12, 404209
13, 401595
14, 393097
15, 380302
16, 369442
17, 367079
18, 360070
19, 350652
20, 340568
21, 337778
22, 332813
23, 324493
24, 317990
25, 311593
26, 312476
27, 303910
28, 296684
29, 295540
30, 290395
31, 284765
32, 277499
33, 275066
34, 271883
35, 265851
36, 260702
37, 260265
38, 256285
39, 251036
40, 246036
41, 245132
42, 241481
43, 236841
44, 232522
45, 230996
46, 227848
47, 223465
48, 219620
49, 218714
50, 215926
51, 212428
52, 208831
53, 207621
54, 205396
55, 202100
56, 199128
57, 198167
58, 195639
59, 192609
60, 189416
61, 188376
62, 186029
63, 182981
64, 180547
