threads,loops
1, 345860
2, 569229
3, 439327
4, 439229
5, 431810
6, 431336
7, 416790
8, 411144
9, 435135
10, 429357
11, 432448
12, 431604
13, 417386
14, 430785
15, 432335
16, 428494
17, 426144
18, 420173
19, 425775
20, 427145
21, 413104
22, 404825
23, 400867
24, 402015
25, 402463
26, 406112
27, 395740
28, 399843
29, 405484
30, 392469
31, 399375
32, 398076
33, 393874
34, 401482
35, 395951
36, 396700
37, 384837
38, 396167
39, 393643
40, 402666
41, 401041
42, 397427
43, 406957
44, 401201
45, 400808
46, 399374
47, 397005
48, 396741
49, 397524
50, 397920
51, 393956
52, 399197
53, 397841
54, 395092
55, 397764
56, 393271
57, 395265
58, 394162
59, 392686
60, 388595
61, 390448
62, 394277
63, 390013
64, 391935
