threads,loops
1, 594131
2, 389616
3, 421534
4, 436327
5, 442139
6, 406418
7, 388874
8, 401873
9, 404014
10, 403108
11, 403071
12, 402836
13, 402832
14, 404210
15, 404746
16, 402640
17, 403163
18, 401260
19, 406468
20, 413687
21, 417253
22, 427916
23, 436341
24, 432062
25, 436762
26, 433933
27, 435458
28, 434261
29, 431352
30, 434316
31, 430297
32, 428579
33, 428665
34, 429886
35, 429197
36, 431319
37, 430774
38, 432048
39, 432489
40, 434099
41, 432944
42, 435035
43, 431832
44, 433886
45, 431266
46, 433631
47, 432231
48, 431945
49, 431727
50, 431213
51, 430921
52, 431095
53, 431034
54, 431026
55, 430601
56, 430162
57, 429559
58, 429441
59, 429351
60, 430789
61, 426497
62, 428765
63, 428803
64, 427681
