threads,loops
1, 1738108
2, 2660783
3, 2029081
4, 1864180
5, 1847101
6, 1801465
7, 1793755
8, 1778365
9, 1773243
10, 1773572
11, 1775271
12, 1764211
13, 1766360
14, 1767134
15, 1760928
16, 1756177
17, 1769180
18, 1765920
19, 1770363
20, 1757484
21, 1759514
22, 1771290
23, 1758471
24, 1760063
25, 1757475
26, 1758152
27, 1757306
28, 1756443
29, 1751935
30, 1752503
31, 1745206
32, 1751608
33, 1751069
34, 1746952
35, 1746106
36, 1737898
37, 1741887
38, 1738273
39, 1745371
40, 1742935
41, 1740188
42, 1736874
43, 1735876
44, 1734651
45, 1734373
46, 1734296
47, 1726908
48, 1725885
49, 1728553
50, 1723242
51, 1718632
52, 1723054
53, 1721823
54, 1717581
55, 1722697
56, 1715951
57, 1716356
58, 1711992
59, 1707714
60, 1704262
61, 1703676
62, 1705593
63, 1702118
64, 1694017
