threads,loops
1, 352951
2, 628711
3, 440762
4, 439721
5, 433677
6, 435715
7, 423936
8, 426832
9, 436624
10, 430527
11, 431657
12, 429852
13, 431154
14, 430763
15, 430293
16, 428398
17, 427658
18, 426454
19, 427324
20, 427450
21, 416692
22, 402956
23, 404188
24, 402432
25, 400339
26, 405914
27, 397927
28, 408456
29, 403572
30, 404325
31, 395237
32, 402420
33, 399567
34, 396745
35, 403837
36, 399019
37, 395182
38, 393040
39, 401605
40, 398091
41, 404066
42, 407636
43, 412362
44, 413203
45, 406319
46, 404159
47, 404417
48, 406458
49, 400187
50, 400654
51, 404866
52, 400918
53, 398484
54, 399791
55, 399361
56, 398248
57, 396526
58, 395753
59, 395709
60, 391986
61, 393990
62, 393275
63, 391430
64, 393748
