threads,loops
1, 947545
2, 569246
3, 520843
4, 487304
5, 491859
6, 480467
7, 461705
8, 444765
9, 441161
10, 432312
11, 417867
12, 403108
13, 399802
14, 392025
15, 381304
16, 368080
17, 366119
18, 359137
19, 348890
20, 342208
21, 338271
22, 333002
23, 325805
24, 317927
25, 314012
26, 309997
27, 302075
28, 295097
29, 290574
30, 286526
31, 281674
32, 275432
33, 270807
34, 265828
35, 261459
36, 260567
37, 259304
38, 255666
39, 250704
40, 245776
41, 242592
42, 240999
43, 236557
44, 232771
45, 231124
46, 227783
47, 223871
48, 220146
49, 218884
50, 216111
51, 212546
52, 209159
53, 208151
54, 205759
55, 202231
56, 199108
57, 197973
58, 195457
59, 192323
60, 189329
61, 188234
62, 185863
63, 183001
64, 180072
