threads,loops
1, 35043
2, 59232
3, 49476
4, 46630
5, 49249
6, 47285
7, 49781
8, 48726
9, 42038
10, 45917
11, 47272
12, 47240
13, 48167
14, 48690
15, 48113
16, 47981
17, 46488
18, 43082
19, 44006
20, 45364
21, 42415
22, 41290
23, 41689
24, 41488
25, 41583
26, 40822
27, 40743
28, 41407
29, 41234
30, 40240
31, 39621
32, 40148
33, 39776
34, 39600
35, 39365
36, 38955
37, 39800
38, 40300
39, 41226
40, 41353
41, 41044
42, 40947
43, 40807
44, 40747
45, 41004
46, 40687
47, 40689
48, 39846
49, 39891
50, 39979
51, 37085
52, 39129
53, 39650
54, 39831
55, 40302
56, 40072
57, 39252
58, 39681
59, 40637
60, 40516
61, 40674
62, 40793
63, 40579
64, 38440
