threads,loops
1, 78045
2, 137445
3, 142484
4, 115629
5, 108689
6, 108737
7, 103735
8, 105311
9, 105920
10, 104370
11, 103137
12, 101325
13, 103543
14, 102910
15, 102128
16, 99825
17, 100629
18, 100392
19, 100085
20, 102891
21, 102969
22, 104873
23, 103741
24, 104552
25, 104703
26, 105191
27, 104978
28, 103419
29, 102985
30, 104080
31, 103523
32, 102830
33, 102934
34, 103894
35, 102087
36, 101592
37, 103240
38, 102559
39, 102153
40, 100934
41, 101953
42, 102212
43, 101213
44, 99240
45, 100285
46, 99162
47, 99472
48, 99084
49, 98494
50, 98689
51, 98773
52, 99210
53, 97091
54, 98123
55, 98528
56, 98230
57, 96708
58, 97384
59, 96488
60, 97225
61, 96222
62, 95638
63, 95773
64, 95005
