threads,loops
1, 35742
2, 60087
3, 50529
4, 47416
5, 45156
6, 46656
7, 51076
8, 50589
9, 50194
10, 49317
11, 49351
12, 49015
13, 49492
14, 49311
15, 49241
16, 48966
17, 48513
18, 47482
19, 47852
20, 47148
21, 45653
22, 43844
23, 44054
24, 42448
25, 43321
26, 44724
27, 44484
28, 44904
29, 45019
30, 44544
31, 43722
32, 43609
33, 42923
34, 44124
35, 43201
36, 43465
37, 43337
38, 43190
39, 42913
40, 42975
41, 42685
42, 42731
43, 42576
44, 43821
45, 43940
46, 42421
47, 43009
48, 43673
49, 43284
50, 42957
51, 42751
52, 42835
53, 42741
54, 43410
55, 42150
56, 42489
57, 42777
58, 42744
59, 42476
60, 42515
61, 42524
62, 42405
63, 42357
64, 42125
