threads,loops
1, 225743
2, 374845
3, 309869
4, 311492
5, 307045
6, 287213
7, 294133
8, 286942
9, 298018
10, 300014
11, 280551
12, 292169
13, 291120
14, 285759
15, 264723
16, 289217
17, 286568
18, 286595
19, 281073
20, 283739
21, 268212
22, 258978
23, 258002
24, 255817
25, 256049
26, 255159
27, 259157
28, 256511
29, 264543
30, 264333
31, 261921
32, 261321
33, 256018
34, 256471
35, 257291
36, 259063
37, 265987
38, 258352
39, 260397
40, 256903
41, 255907
42, 255442
43, 255591
44, 259465
45, 253510
46, 256068
47, 253339
48, 252476
49, 253421
50, 254187
51, 254719
52, 254594
53, 253847
54, 251542
55, 254569
56, 252754
57, 254451
58, 254791
59, 253967
60, 253147
61, 252816
62, 251576
63, 252034
64, 251912
