threads,loops
1, 341608
2, 322383
3, 312817
4, 322005
5, 315553
6, 313542
7, 307855
8, 307731
9, 310826
10, 298825
11, 293030
12, 287333
13, 287015
14, 287115
15, 284762
16, 283961
17, 282592
18, 282996
19, 281837
20, 285890
21, 287639
22, 289195
23, 293985
24, 288449
25, 289864
26, 286789
27, 287329
28, 288624
29, 286482
30, 284135
31, 283391
32, 281915
33, 280161
34, 281295
35, 279634
36, 281026
37, 283872
38, 288300
39, 283718
40, 285059
41, 284552
42, 286082
43, 285267
44, 284925
45, 284473
46, 285044
47, 285146
48, 285793
49, 284419
50, 283806
51, 282330
52, 283983
53, 283371
54, 283554
55, 281746
56, 283382
57, 282987
58, 281414
59, 282077
60, 280512
61, 278766
62, 280189
63, 279848
64, 279429
