threads,loops
1, 585148
2, 722339
3, 1133097
4, 1150053
5, 972636
6, 1002566
7, 1007280
8, 1013799
9, 1015049
10, 1011673
11, 1003773
12, 1001608
13, 1000124
14, 1002572
15, 997412
16, 994580
17, 998434
18, 1003253
19, 1003488
20, 995648
21, 1001386
22, 1008507
23, 1007084
24, 993349
25, 1007513
26, 1009638
27, 1006472
28, 1000652
29, 1001229
30, 997210
31, 988479
32, 995013
33, 995347
34, 990378
35, 993092
36, 983584
37, 990207
38, 986238
39, 987620
40, 985501
41, 982281
42, 982803
43, 980680
44, 978153
45, 975216
46, 975139
47, 967460
48, 970173
49, 967734
50, 967524
51, 965314
52, 960253
53, 959315
54, 960117
55, 959261
56, 956809
57, 953356
58, 950615
59, 950739
60, 945252
61, 945349
62, 942661
63, 938891
64, 925078
