threads,loops
1, 223210
2, 377288
3, 302917
4, 290446
5, 267556
6, 266038
7, 276312
8, 300312
9, 285242
10, 290912
11, 295353
12, 295929
13, 295042
14, 291359
15, 292452
16, 282822
17, 286825
18, 285609
19, 281015
20, 286002
21, 259851
22, 261170
23, 262649
24, 259911
25, 260048
26, 253360
27, 261627
28, 257863
29, 263124
30, 260158
31, 260654
32, 262806
33, 260014
34, 260345
35, 257047
36, 261625
37, 257661
38, 256417
39, 257848
40, 263033
41, 257285
42, 256237
43, 256822
44, 256484
45, 260872
46, 256284
47, 255362
48, 252337
49, 253653
50, 253638
51, 255158
52, 255401
53, 254299
54, 249985
55, 254482
56, 252686
57, 254018
58, 255083
59, 253566
60, 252838
61, 252313
62, 249233
63, 252264
64, 251148
