threads,loops
1, 460169
2, 395082
3, 351048
4, 328068
5, 332163
6, 324358
7, 313802
8, 302850
9, 298522
10, 293736
11, 286965
12, 278743
13, 274057
14, 274478
15, 267848
16, 261621
17, 259925
18, 257719
19, 253405
20, 247193
21, 246197
22, 243437
23, 239162
24, 234461
25, 233283
26, 229990
27, 225995
28, 221275
29, 220615
30, 217529
31, 213529
32, 210224
33, 208816
34, 206539
35, 203064
36, 199471
37, 199084
38, 196927
39, 193922
40, 190998
41, 189982
42, 188215
43, 185077
44, 182486
45, 181805
46, 179573
47, 176852
48, 174529
49, 173798
50, 172256
51, 169983
52, 167716
53, 167155
54, 165570
55, 163520
56, 161401
57, 160552
58, 159226
59, 157148
60, 155034
61, 154437
62, 152752
63, 150964
64, 149130
