threads,loops
1, 217062
2, 371727
3, 304010
4, 295803
5, 272055
6, 309849
7, 287280
8, 288246
9, 290841
10, 302452
11, 297198
12, 286494
13, 297169
14, 275446
15, 289401
16, 288062
17, 288704
18, 289138
19, 289539
20, 289010
21, 271610
22, 266817
23, 260869
24, 265286
25, 266575
26, 265685
27, 265274
28, 264576
29, 263034
30, 260776
31, 260987
32, 260808
33, 254646
34, 255035
35, 256701
36, 256564
37, 255192
38, 255339
39, 257377
40, 257111
41, 257822
42, 258246
43, 257027
44, 253601
45, 259722
46, 256703
47, 254534
48, 259417
49, 256456
50, 260080
51, 261701
52, 256420
53, 256111
54, 257677
55, 255323
56, 255780
57, 254677
58, 255583
59, 253719
60, 254993
61, 253132
62, 252890
63, 251668
64, 252067
