threads,loops
1, 325366
2, 317590
3, 314446
4, 347953
5, 321739
6, 319881
7, 315677
8, 312691
9, 302961
10, 298294
11, 293486
12, 290122
13, 290196
14, 288676
15, 291016
16, 286793
17, 286290
18, 284509
19, 284264
20, 288272
21, 288110
22, 291190
23, 290850
24, 290525
25, 291475
26, 291643
27, 289367
28, 287143
29, 287564
30, 287251
31, 287073
32, 288212
33, 287651
34, 287250
35, 285750
36, 286496
37, 288099
38, 290386
39, 287436
40, 285798
41, 286886
42, 287416
43, 288693
44, 286213
45, 287412
46, 286881
47, 287122
48, 286235
49, 286700
50, 286612
51, 286685
52, 286276
53, 285383
54, 284088
55, 284388
56, 283571
57, 281530
58, 285439
59, 283317
60, 284147
61, 282240
62, 283800
63, 282859
64, 281078
