threads,loops
1, 592099
2, 1071969
3, 1207451
4, 1175905
5, 985209
6, 1012125
7, 1013274
8, 1017768
9, 1025651
10, 1020924
11, 1021576
12, 1015995
13, 1014568
14, 1018797
15, 1016164
16, 1011147
17, 1012471
18, 1016865
19, 1016882
20, 1015772
21, 1016958
22, 1018065
23, 1018231
24, 1019596
25, 1020086
26, 1016628
27, 1017313
28, 1013372
29, 1012515
30, 1012342
31, 1007913
32, 1005659
33, 1005229
34, 1004812
35, 1003259
36, 1001497
37, 999525
38, 1000007
39, 995424
40, 995497
41, 993008
42, 991841
43, 989372
44, 986240
45, 987450
46, 984138
47, 981261
48, 977807
49, 976745
50, 976055
51, 972095
52, 971037
53, 971361
54, 969007
55, 967493
56, 963720
57, 962851
58, 960183
59, 956790
60, 954430
61, 954150
62, 952909
63, 948099
64, 944018
