threads,loops
1, 228274
2, 383158
3, 307288
4, 312785
5, 306729
6, 304028
7, 290662
8, 269817
9, 294193
10, 301700
11, 294649
12, 296228
13, 295416
14, 294987
15, 295282
16, 292950
17, 289110
18, 289530
19, 287262
20, 289617
21, 275485
22, 265119
23, 258808
24, 267331
25, 268091
26, 265595
27, 263609
28, 264508
29, 265212
30, 262733
31, 263194
32, 261450
33, 256086
34, 263875
35, 262687
36, 259322
37, 257773
38, 257842
39, 259026
40, 257616
41, 258282
42, 261029
43, 257296
44, 256668
45, 255480
46, 258527
47, 256347
48, 258216
49, 259537
50, 259548
51, 257475
52, 255949
53, 255564
54, 256166
55, 254785
56, 255559
57, 254544
58, 253965
59, 255242
60, 254479
61, 253356
62, 252837
63, 252434
64, 252557
