threads,loops
1, 455562
2, 400529
3, 348781
4, 332318
5, 333471
6, 322422
7, 311724
8, 300411
9, 298635
10, 292202
11, 285823
12, 278154
13, 274742
14, 270520
15, 264450
16, 257742
17, 256874
18, 254050
19, 249979
20, 245197
21, 243310
22, 240475
23, 236836
24, 232900
25, 227817
26, 227585
27, 224085
28, 219912
29, 218240
30, 215729
31, 212264
32, 208663
33, 207031
34, 205050
35, 202272
36, 199183
37, 197348
38, 195253
39, 192992
40, 190391
41, 188592
42, 186833
43, 184216
44, 182008
45, 180466
46, 178540
47, 176354
48, 174057
49, 173009
50, 171301
51, 169569
52, 167498
53, 166313
54, 164739
55, 163110
56, 161330
57, 159378
58, 159511
59, 157394
60, 155533
61, 154813
62, 153060
63, 151056
64, 149446
