,filebacked,filebacked,filebacked,filebacked,filebacked,filebacked,filebacked,membacked,membacked,membacked,membacked,membacked,membacked,membacked
,inactive,inactive,inactive,inactive,smokewagon,smokewagon,smokewagon,inactive,inactive,inactive,inactive,smokewagon,smokewagon,smokewagon
,baseline,flat1GB,xarray-bug,xarray-fixed,flat1GB,xarray-bug,xarray-fixed,baseline,flat1GB,xarray-bug,xarray-fixed,flat1GB,xarray-bug,xarray-fixed
threads,,,,,,,,,,,,,,
1,158711,149434,149309,134160,57582,54959,158312,106592,72613,73050,71988,35742,35043,78045
2,96751,91016,90952,85327,96206,94813,188574,68593,62262,65956,64447,60087,59232,137445
3,88716,82350,90410,80080,73066,68656,144843,60391,55177,58042,56661,50529,49476,142484
4,82140,76667,89989,75598,72717,64402,155730,60595,52287,57823,58371,47416,46630,115629
5,83135,76571,79273,75593,71843,64167,161902,56005,53163,54417,53521,45156,49249,108689
6,80721,75076,78753,73835,72222,66896,163689,54742,51546,52959,52434,46656,47285,108737
7,77390,72823,75662,71675,72221,70537,165986,53066,49870,51428,50849,51076,49781,103735
8,74121,70115,73478,69520,72962,70159,165187,51255,48334,49868,49181,50589,48726,105311
9,73762,70854,71237,68959,72438,72686,167097,50013,47705,48329,48377,50194,42038,105920
10,71715,69524,70121,67206,72171,72450,167093,49207,46912,47599,47325,49317,45917,104370
11,69483,67548,67948,65738,72223,72216,165820,47948,45651,46251,46265,49351,47272,103137
12,67108,65340,65599,63635,70089,71797,168435,46361,44804,45137,45052,49015,47240,101325
13,66718,64346,64486,62745,71706,72016,169961,45696,43992,44737,44749,49492,48167,103543
14,64887,62850,62846,61466,71852,72061,169402,44593,43255,44103,43988,49311,48690,102910
15,63056,61376,61499,59794,71104,72066,170683,43158,42174,42999,42900,49241,48113,102128
16,61071,59507,59745,58199,71927,71821,170279,42602,42083,41996,42042,48966,47981,99825
17,60227,58911,59121,57613,71210,71024,170340,43112,41969,41919,41915,48513,46488,100629
18,60405,57915,58004,56730,70795,71274,171051,42756,41638,41450,41553,47482,43082,100392
19,59106,56653,56781,55355,71445,71453,170685,41891,40852,40690,40885,47852,44006,100085
20,57339,54891,55340,54086,70995,70597,172322,41089,40038,39937,39990,47148,45364,102891
21,56963,54752,54779,53596,68785,69068,168380,40880,39797,39513,39826,45653,42415,102969
22,55726,53857,53982,52735,66378,68566,171671,40210,39311,39327,39394,43844,41290,104873
23,54312,52654,52642,51601,67571,66268,174143,39540,38793,38673,38731,44054,41689,103741
24,53282,51391,51376,50492,67460,66436,173077,38668,38050,37988,37982,42448,41488,104552
25,52761,50976,51030,49955,67381,67543,175825,38562,37794,37732,37822,43321,41583,104703
26,51835,50083,50384,49211,67912,68097,175518,37992,37262,37289,37223,44724,40822,105191
27,50423,48968,49059,48201,68158,67691,174623,37433,36659,36695,36644,44484,40743,104978
28,49363,47686,47873,47199,67449,68096,177487,36757,36081,35998,35956,44904,41407,103419
29,49038,47363,47574,46551,67561,68192,177119,36454,35767,35748,35747,45019,41234,102985
30,48230,46621,46609,45791,67903,67777,177969,35844,35283,35222,35275,44544,40240,104080
31,47318,45650,45756,45065,67681,67393,178295,35276,34788,34659,34681,43722,39621,103523
32,46178,44511,44785,44191,67749,67820,176736,34669,34086,33998,34053,43609,40148,102830
33,45745,44340,44524,43741,68179,66161,177696,34585,33949,34010,34057,42923,39776,102934
34,45129,43821,43834,43044,68014,65897,177750,34147,33584,33572,33604,44124,39600,103894
35,44405,42861,43099,42506,67270,65582,177417,33671,33035,33098,33088,43201,39365,102087
36,43324,42068,42230,41771,66707,66236,178145,33135,32559,32571,32587,43465,38955,101592
37,43071,41830,42001,41326,66352,65836,179067,32943,32456,32406,32474,43337,39800,103240
38,42394,41297,41471,40851,66297,66670,178342,32624,32113,32057,32103,43190,40300,102559
39,41791,40482,40721,40240,66414,66161,180084,32201,31548,31584,31665,42913,41226,102153
40,40920,39800,39879,39574,65682,65863,181492,31647,31151,31112,31197,42975,41353,100934
41,40657,39592,39731,39119,65986,66641,175685,31546,31032,30954,31060,42685,41044,101953
42,40076,39054,39109,38661,66099,66374,178334,31034,30659,30643,30638,42731,40947,102212
43,39444,38293,38439,38108,66230,66375,179941,30662,30233,30160,30279,42576,40807,101213
44,38568,37588,37768,37573,65498,66279,178241,30207,29772,29804,29908,43821,40747,99240
45,38239,37386,37545,37065,65902,65259,179943,30076,29744,29609,29670,43940,41004,100285
46,37957,36897,37023,36752,65917,66399,179810,29748,29276,29227,29370,42421,40687,99162
47,37302,36295,36442,36235,65546,67834,178346,29220,28909,28856,28959,43009,40689,99472
48,36650,35673,35814,35722,65717,67867,178077,28898,28496,28424,28507,43673,39846,99084
49,36351,35469,35633,35188,65794,66230,178505,28855,28404,28346,28432,43284,39891,98494
50,36008,35078,35230,34649,64524,65837,181949,28641,28134,28062,28180,42957,39979,98689
51,35413,34558,34681,34053,63774,66285,180201,28227,27797,27747,27788,42751,37085,98773
52,34891,34029,34120,34008,65894,65605,178379,27843,27471,27379,27456,42835,39129,99210
53,34657,33773,33903,33911,65937,65866,176359,27678,27347,27303,27291,42741,39650,97091
54,34253,33482,33543,33503,65766,66061,177377,27443,27089,27017,27061,43410,39831,98123
55,33789,32954,33105,33029,65729,66429,176472,27109,26774,26717,26760,42150,40302,98528
56,33251,32510,32611,32495,65152,66127,177796,26739,26447,26356,26398,42489,40072,98230
57,33065,32261,32355,32214,65260,65664,178961,26640,26326,26256,26265,42777,39252,96708
58,32659,31903,31997,31867,65160,65902,179412,26362,26056,25990,26010,42744,39681,97384
59,32192,31446,31543,31179,65549,65310,175300,26050,25739,25668,25715,42476,40637,96488
60,31588,31060,31057,30860,65344,65287,176700,25707,25377,25360,25385,42515,40516,97225
61,31431,30769,30811,30709,65485,65009,175872,25622,25276,25193,25253,42524,40674,96222
62,31113,30432,30497,30404,64774,65699,175997,25351,25007,24956,24990,42405,40793,95638
63,30656,29909,30011,29893,65071,62382,176179,25070,24722,24660,24677,42357,40579,95773
64,30158,29489,29586,29413,64931,64848,178214,24750,24390,24377,24402,42125,38440,95005
